"id","target_post_id","handle","content","status","created_at","posted_at","generation_model","generation_cost","insight","reply_tweet_id","nostr_event_id","posted_to_nostr","qualifier_reason"
"1","2019867097086492779","JacobKinge","This is why decentralized infrastructure is the exit from legacy control. 🔒","expired","2026-02-07T14:38:54.360351","","legacy","0.0","","","","N",""
"2","2019847292891598865","JacobKinge","This is why decentralized infrastructure is the exit from legacy control. 🔒","expired","2026-02-07T14:38:54.441354","","legacy","0.0","","","","N",""
"3","2019803017357168993","JacobKinge","This is why decentralized infrastructure is the exit from legacy control. 🔒","expired","2026-02-07T14:38:54.744986","","legacy","0.0","","","","N",""
"4","2019797446713364900","JacobKinge","This is why decentralized infrastructure is the exit from legacy control. 🔒","expired","2026-02-07T14:38:54.859319","","legacy","0.0","","","","N",""
"5","2019591674767216906","theRealKiyosaki","This is why decentralized infrastructure is the exit from legacy control. 🔒","expired","2026-02-07T14:38:55.036098","","legacy","0.0","","","","N",""
"6","2019770006742188539","PrepperCanadian","This is why decentralized infrastructure is the exit from legacy control. 🔒","expired","2026-02-07T14:38:55.043776","","legacy","0.0","","","","N",""
"7","2019760604349657465","AaronRDay","This is why decentralized infrastructure is the exit from legacy control. 🔒","expired","2026-02-07T14:38:55.097796","","legacy","0.0","","","","N",""
"8","2019730134488813668","AaronRDay","This is why decentralized infrastructure is the exit from legacy control. 🔒","expired","2026-02-07T14:38:55.207576","","legacy","0.0","","","","N",""
"9","2019900946890063937","CaitlinLong_","This is why decentralized infrastructure is the exit from legacy control. 🔒","expired","2026-02-07T14:38:55.230157","","legacy","0.0","","","","N",""
"10","2019454396426293552","DollarVigilante","This is why decentralized infrastructure is the exit from legacy control. 🔒","expired","2026-02-07T14:38:55.522193","","legacy","0.0","","","","N",""
"11","2019440997126541669","DollarVigilante","This is why decentralized infrastructure is the exit from legacy control. 🔒","expired","2026-02-07T14:38:55.576583","","legacy","0.0","","","","N",""
"12","2019547421131305419","AaronRDay","This is why decentralized infrastructure is the exit from legacy control. 🔒","expired","2026-02-07T14:38:55.670429","","legacy","0.0","","","","N",""
"13","2019538469899350070","JacobKinge","This is why decentralized infrastructure is the exit from legacy control. 🔒","expired","2026-02-07T14:38:55.721972","","legacy","0.0","","","","N",""
